year,city,country,avg_temp
1743,Boston,United States,1.19
1744,Boston,United States,9.63
1745,Boston,United States,-1.37
1746,Boston,United States,
1747,Boston,United States,
1748,Boston,United States,
1749,Boston,United States,
1750,Boston,United States,7.88
1751,Boston,United States,8.60
1752,Boston,United States,0.36
1753,Boston,United States,7.35
1754,Boston,United States,7.75
1755,Boston,United States,4.28
1756,Boston,United States,7.76
1757,Boston,United States,6.65
1758,Boston,United States,6.09
1759,Boston,United States,6.80
1760,Boston,United States,5.53
1761,Boston,United States,8.05
1762,Boston,United States,7.42
1763,Boston,United States,4.99
1764,Boston,United States,7.36
1765,Boston,United States,6.73
1766,Boston,United States,7.96
1767,Boston,United States,6.28
1768,Boston,United States,6.74
1769,Boston,United States,6.94
1770,Boston,United States,6.99
1771,Boston,United States,7.72
1772,Boston,United States,7.44
1773,Boston,United States,7.97
1774,Boston,United States,7.35
1775,Boston,United States,8.08
1776,Boston,United States,6.83
1777,Boston,United States,6.56
1778,Boston,United States,4.75
1779,Boston,United States,-2.31
1780,Boston,United States,
1781,Boston,United States,7.61
1782,Boston,United States,6.98
1783,Boston,United States,6.64
1784,Boston,United States,6.24
1785,Boston,United States,6.32
1786,Boston,United States,6.81
1787,Boston,United States,6.81
1788,Boston,United States,7.60
1789,Boston,United States,7.25
1790,Boston,United States,7.22
1791,Boston,United States,7.11
1792,Boston,United States,6.47
1793,Boston,United States,7.81
1794,Boston,United States,7.76
1795,Boston,United States,7.02
1796,Boston,United States,6.82
1797,Boston,United States,6.70
1798,Boston,United States,7.37
1799,Boston,United States,6.85
1800,Boston,United States,7.59
1801,Boston,United States,8.01
1802,Boston,United States,8.24
1803,Boston,United States,7.81
1804,Boston,United States,7.43
1805,Boston,United States,8.26
1806,Boston,United States,7.05
1807,Boston,United States,6.89
1808,Boston,United States,7.31
1809,Boston,United States,6.57
1810,Boston,United States,7.24
1811,Boston,United States,7.43
1812,Boston,United States,5.48
1813,Boston,United States,6.61
1814,Boston,United States,6.36
1815,Boston,United States,6.13
1816,Boston,United States,5.83
1817,Boston,United States,5.57
1818,Boston,United States,5.91
1819,Boston,United States,6.99
1820,Boston,United States,6.80
1821,Boston,United States,6.52
1822,Boston,United States,7.37
1823,Boston,United States,6.26
1824,Boston,United States,7.04
1825,Boston,United States,8.00
1826,Boston,United States,7.84
1827,Boston,United States,6.96
1828,Boston,United States,8.45
1829,Boston,United States,6.74
1830,Boston,United States,7.72
1831,Boston,United States,7.15
1832,Boston,United States,6.67
1833,Boston,United States,6.76
1834,Boston,United States,6.91
1835,Boston,United States,5.97
1836,Boston,United States,5.28
1837,Boston,United States,5.59
1838,Boston,United States,6.36
1839,Boston,United States,6.95
1840,Boston,United States,6.98
1841,Boston,United States,6.83
1842,Boston,United States,6.93
1843,Boston,United States,6.30
1844,Boston,United States,6.57
1845,Boston,United States,7.01
1846,Boston,United States,7.37
1847,Boston,United States,7.12
1848,Boston,United States,7.06
1849,Boston,United States,6.58
1850,Boston,United States,6.72
1851,Boston,United States,6.61
1852,Boston,United States,6.69
1853,Boston,United States,7.12
1854,Boston,United States,6.95
1855,Boston,United States,6.92
1856,Boston,United States,5.92
1857,Boston,United States,6.64
1858,Boston,United States,6.56
1859,Boston,United States,6.57
1860,Boston,United States,6.90
1861,Boston,United States,7.04
1862,Boston,United States,6.77
1863,Boston,United States,6.92
1864,Boston,United States,7.14
1865,Boston,United States,7.49
1866,Boston,United States,6.77
1867,Boston,United States,6.42
1868,Boston,United States,5.89
1869,Boston,United States,6.68
1870,Boston,United States,7.91
1871,Boston,United States,6.63
1872,Boston,United States,6.41
1873,Boston,United States,6.00
1874,Boston,United States,6.47
1875,Boston,United States,5.28
1876,Boston,United States,6.83
1877,Boston,United States,7.79
1878,Boston,United States,8.01
1879,Boston,United States,6.85
1880,Boston,United States,7.61
1881,Boston,United States,7.35
1882,Boston,United States,6.89
1883,Boston,United States,6.18
1884,Boston,United States,7.08
1885,Boston,United States,6.33
1886,Boston,United States,6.95
1887,Boston,United States,6.80
1888,Boston,United States,5.89
1889,Boston,United States,7.98
1890,Boston,United States,7.15
1891,Boston,United States,7.91
1892,Boston,United States,7.23
1893,Boston,United States,6.43
1894,Boston,United States,7.75
1895,Boston,United States,7.27
1896,Boston,United States,7.28
1897,Boston,United States,7.53
1898,Boston,United States,8.01
1899,Boston,United States,7.53
1900,Boston,United States,7.95
1901,Boston,United States,7.29
1902,Boston,United States,7.46
1903,Boston,United States,7.35
1904,Boston,United States,5.85
1905,Boston,United States,6.83
1906,Boston,United States,7.61
1907,Boston,United States,6.48
1908,Boston,United States,7.85
1909,Boston,United States,7.43
1910,Boston,United States,7.62
1911,Boston,United States,7.73
1912,Boston,United States,7.16
1913,Boston,United States,8.58
1914,Boston,United States,6.89
1915,Boston,United States,7.98
1916,Boston,United States,7.05
1917,Boston,United States,6.04
1918,Boston,United States,7.17
1919,Boston,United States,7.90
1920,Boston,United States,7.16
1921,Boston,United States,8.52
1922,Boston,United States,7.71
1923,Boston,United States,7.07
1924,Boston,United States,6.88
1925,Boston,United States,7.68
1926,Boston,United States,6.39
1927,Boston,United States,7.99
1928,Boston,United States,7.81
1929,Boston,United States,7.70
1930,Boston,United States,8.21
1931,Boston,United States,8.74
1932,Boston,United States,8.19
1933,Boston,United States,7.89
1934,Boston,United States,7.29
1935,Boston,United States,7.30
1936,Boston,United States,7.58
1937,Boston,United States,8.26
1938,Boston,United States,8.38
1939,Boston,United States,7.55
1940,Boston,United States,6.68
1941,Boston,United States,8.16
1942,Boston,United States,8.03
1943,Boston,United States,7.22
1944,Boston,United States,7.87
1945,Boston,United States,7.96
1946,Boston,United States,8.28
1947,Boston,United States,7.96
1948,Boston,United States,7.68
1949,Boston,United States,9.30
1950,Boston,United States,7.85
1951,Boston,United States,8.27
1952,Boston,United States,8.58
1953,Boston,United States,9.33
1954,Boston,United States,8.12
1955,Boston,United States,8.20
1956,Boston,United States,7.45
1957,Boston,United States,8.51
1958,Boston,United States,7.20
1959,Boston,United States,8.41
1960,Boston,United States,7.81
1961,Boston,United States,7.94
1962,Boston,United States,7.09
1963,Boston,United States,7.44
1964,Boston,United States,7.74
1965,Boston,United States,7.49
1966,Boston,United States,7.77
1967,Boston,United States,7.34
1968,Boston,United States,7.55
1969,Boston,United States,7.97
1970,Boston,United States,7.70
1971,Boston,United States,7.79
1972,Boston,United States,7.19
1973,Boston,United States,8.97
1974,Boston,United States,7.86
1975,Boston,United States,8.35
1976,Boston,United States,7.52
1977,Boston,United States,7.88
1978,Boston,United States,7.07
1979,Boston,United States,8.32
1980,Boston,United States,7.54
1981,Boston,United States,8.02
1982,Boston,United States,7.62
1983,Boston,United States,8.54
1984,Boston,United States,8.30
1985,Boston,United States,7.86
1986,Boston,United States,7.84
1987,Boston,United States,7.97
1988,Boston,United States,7.90
1989,Boston,United States,7.51
1990,Boston,United States,9.20
1991,Boston,United States,9.08
1992,Boston,United States,7.40
1993,Boston,United States,7.84
1994,Boston,United States,7.96
1995,Boston,United States,8.13
1996,Boston,United States,7.93
1997,Boston,United States,7.87
1998,Boston,United States,9.63
1999,Boston,United States,9.30
2000,Boston,United States,8.00
2001,Boston,United States,8.91
2002,Boston,United States,9.02
2003,Boston,United States,7.78
2004,Boston,United States,8.09
2005,Boston,United States,8.56
2006,Boston,United States,9.48
2007,Boston,United States,8.36
2008,Boston,United States,8.53
2009,Boston,United States,8.07
2010,Boston,United States,9.58
2011,Boston,United States,9.12
2012,Boston,United States,10.06
2013,Boston,United States,10.38
1743,Madrid,Spain,6.65
1744,Madrid,Spain,12.41
1745,Madrid,Spain,5.46
1746,Madrid,Spain,
1747,Madrid,Spain,
1748,Madrid,Spain,
1749,Madrid,Spain,
1750,Madrid,Spain,12.01
1751,Madrid,Spain,12.71
1752,Madrid,Spain,7.07
1753,Madrid,Spain,11.47
1754,Madrid,Spain,11.49
1755,Madrid,Spain,11.17
1756,Madrid,Spain,11.50
1757,Madrid,Spain,11.34
1758,Madrid,Spain,10.24
1759,Madrid,Spain,11.35
1760,Madrid,Spain,10.92
1761,Madrid,Spain,11.53
1762,Madrid,Spain,11.43
1763,Madrid,Spain,10.79
1764,Madrid,Spain,11.46
1765,Madrid,Spain,11.48
1766,Madrid,Spain,11.34
1767,Madrid,Spain,11.45
1768,Madrid,Spain,10.77
1769,Madrid,Spain,11.23
1770,Madrid,Spain,11.08
1771,Madrid,Spain,11.57
1772,Madrid,Spain,12.18
1773,Madrid,Spain,11.15
1774,Madrid,Spain,11.79
1775,Madrid,Spain,11.93
1776,Madrid,Spain,11.43
1777,Madrid,Spain,11.27
1778,Madrid,Spain,11.62
1779,Madrid,Spain,11.80
1780,Madrid,Spain,12.21
1781,Madrid,Spain,11.85
1782,Madrid,Spain,10.84
1783,Madrid,Spain,11.40
1784,Madrid,Spain,11.15
1785,Madrid,Spain,10.95
1786,Madrid,Spain,11.36
1787,Madrid,Spain,11.51
1788,Madrid,Spain,11.98
1789,Madrid,Spain,10.72
1790,Madrid,Spain,11.57
1791,Madrid,Spain,11.59
1792,Madrid,Spain,11.58
1793,Madrid,Spain,11.57
1794,Madrid,Spain,11.46
1795,Madrid,Spain,11.56
1796,Madrid,Spain,11.36
1797,Madrid,Spain,11.19
1798,Madrid,Spain,11.53
1799,Madrid,Spain,11.02
1800,Madrid,Spain,11.95
1801,Madrid,Spain,11.74
1802,Madrid,Spain,11.90
1803,Madrid,Spain,11.61
1804,Madrid,Spain,12.06
1805,Madrid,Spain,11.10
1806,Madrid,Spain,11.74
1807,Madrid,Spain,11.13
1808,Madrid,Spain,10.47
1809,Madrid,Spain,10.65
1810,Madrid,Spain,10.40
1811,Madrid,Spain,10.84
1812,Madrid,Spain,10.43
1813,Madrid,Spain,10.66
1814,Madrid,Spain,10.26
1815,Madrid,Spain,10.85
1816,Madrid,Spain,10.20
1817,Madrid,Spain,11.37
1818,Madrid,Spain,11.67
1819,Madrid,Spain,11.02
1820,Madrid,Spain,10.83
1821,Madrid,Spain,11.67
1822,Madrid,Spain,11.67
1823,Madrid,Spain,11.08
1824,Madrid,Spain,11.43
1825,Madrid,Spain,11.62
1826,Madrid,Spain,11.34
1827,Madrid,Spain,11.22
1828,Madrid,Spain,11.65
1829,Madrid,Spain,10.77
1830,Madrid,Spain,11.31
1831,Madrid,Spain,11.65
1832,Madrid,Spain,11.15
1833,Madrid,Spain,11.07
1834,Madrid,Spain,12.09
1835,Madrid,Spain,10.98
1836,Madrid,Spain,11.11
1837,Madrid,Spain,11.09
1838,Madrid,Spain,11.23
1839,Madrid,Spain,11.16
1840,Madrid,Spain,10.96
1841,Madrid,Spain,11.23
1842,Madrid,Spain,11.17
1843,Madrid,Spain,11.41
1844,Madrid,Spain,11.23
1845,Madrid,Spain,10.83
1846,Madrid,Spain,11.85
1847,Madrid,Spain,11.30
1848,Madrid,Spain,10.97
1849,Madrid,Spain,11.30
1850,Madrid,Spain,11.40
1851,Madrid,Spain,11.01
1852,Madrid,Spain,11.84
1853,Madrid,Spain,10.42
1854,Madrid,Spain,11.19
1855,Madrid,Spain,10.61
1856,Madrid,Spain,11.87
1857,Madrid,Spain,11.34
1858,Madrid,Spain,11.74
1859,Madrid,Spain,11.25
1860,Madrid,Spain,10.57
1861,Madrid,Spain,11.27
1862,Madrid,Spain,11.29
